date,is_weekend,is_major_holiday,is_signature_promo_day,is_thanksgiving_special,is_christmas_week_special,is_closed,is_summer_deal_active,is_grad_season,is_major_sporting_event_window,is_special_day,day_of_week,month,weather,covers,avg_check,sales,labor_cost_pct,is_pos_outage
2023-12-23,True,False,False,False,True,False,False,False,False,True,Saturday,12,heavy_rain,755.0,30.39,22947.53,0.2634,False
2023-12-24,True,False,False,False,False,False,False,False,False,False,Sunday,12,rain,354.0,29.01,10271.09,0.2839,False
2023-12-25,False,False,False,False,False,True,False,False,False,False,Monday,12,heavy_rain,0.0,0.0,0.0,,False
2023-12-26,False,False,False,False,False,False,False,False,False,False,Tuesday,12,rain,218.0,27.39,5971.91,0.2931,False
2023-12-27,False,False,False,False,False,False,False,False,False,False,Wednesday,12,clear,242.0,33.36,8072.67,0.289,False
2023-12-28,False,False,False,False,False,False,False,False,False,False,Thursday,12,snow,157.0,23.49,3688.24,0.3106,False
2023-12-29,False,False,False,False,False,False,False,False,False,False,Friday,12,heavy_rain,182.0,28.82,5245.83,0.3002,False
2023-12-30,True,False,False,False,False,False,False,False,False,False,Saturday,12,heavy_rain,384.0,29.73,11417.11,0.2874,False
2023-12-31,True,False,False,False,False,False,False,False,False,False,Sunday,12,clear,416.0,24.02,9991.09,0.2964,False
2024-01-01,False,False,False,False,False,False,False,False,False,False,Monday,1,rain,184.0,28.52,5247.55,0.3073,False
2024-01-02,False,False,False,False,False,False,False,False,False,False,Tuesday,1,rain,186.0,30.27,5630.53,0.2795,False
2024-01-03,False,False,False,False,False,False,False,False,False,False,Wednesday,1,snow,122.0,23.46,2861.94,0.295,False
2024-01-04,False,False,False,False,False,False,False,False,False,False,Thursday,1,rain,216.0,25.97,5609.98,0.2921,False
2024-01-05,False,False,False,False,False,False,False,False,False,False,Friday,1,heavy_rain,202.0,21.14,4269.8,0.3029,False
2024-01-06,True,False,False,False,False,False,False,False,False,False,Saturday,1,rain,334.0,24.93,8328.01,0.2849,False
2024-01-07,True,False,False,False,False,False,False,False,False,False,Sunday,1,clear,339.0,32.89,11148.49,0.2885,False
2024-01-08,False,False,False,False,False,False,False,False,False,False,Monday,1,rain,178.0,24.58,4376.09,0.2947,False
2024-01-09,False,False,False,False,False,False,False,False,False,False,Tuesday,1,clear,195.0,22.76,4438.36,0.2626,False
2024-01-10,False,False,False,False,False,False,False,False,False,False,Wednesday,1,heavy_rain,172.0,26.73,4596.85,0.2916,False
2024-01-11,False,False,False,False,False,False,False,False,False,False,Thursday,1,rain,195.0,24.42,4761.92,0.2917,False
2024-01-12,False,False,False,False,False,False,False,False,False,False,Friday,1,heavy_rain,156.0,24.57,3833.2,0.2967,False
2024-01-13,True,False,False,False,False,False,False,False,False,False,Saturday,1,rain,323.0,31.69,10236.01,0.3133,False
2024-01-14,True,False,False,False,False,False,False,False,False,False,Sunday,1,snow,240.0,25.23,6054.32,0.2853,False
2024-01-15,False,False,False,False,False,False,False,False,False,False,Monday,1,heavy_rain,176.0,23.32,4104.9,0.2852,False
2024-01-16,False,False,False,False,False,False,False,False,False,False,Tuesday,1,heavy_rain,,,,,True
2024-01-17,False,False,False,False,False,False,False,False,False,False,Wednesday,1,clear,221.0,29.21,6454.86,0.2776,False
2024-01-18,False,False,False,False,False,False,False,False,False,False,Thursday,1,rain,190.0,30.16,5731.31,0.2828,False
2024-01-19,False,False,False,False,False,False,False,False,False,False,Friday,1,clear,169.0,24.01,4056.95,0.2902,False
2024-01-20,True,False,False,False,False,False,False,False,False,False,Saturday,1,clear,328.0,32.45,10644.46,0.3076,False
2024-01-21,True,False,False,False,False,False,False,False,False,False,Sunday,1,rain,339.0,26.4,8948.12,0.3085,False
2024-01-22,False,False,False,False,False,False,False,False,False,False,Monday,1,rain,209.0,32.37,6765.39,0.2843,False
2024-01-23,False,False,False,False,False,False,False,False,False,False,Tuesday,1,snow,146.0,22.69,3313.14,0.2964,False
2024-01-24,False,False,False,False,False,False,False,False,False,False,Wednesday,1,clear,203.0,30.49,6190.18,0.3016,False
2024-01-25,False,False,False,False,False,False,False,False,False,False,Thursday,1,rain,184.0,24.03,4421.59,0.2956,False
2024-01-26,False,False,False,False,False,False,False,False,False,False,Friday,1,rain,179.0,33.11,5925.81,0.2754,False
2024-01-27,True,False,False,False,False,False,False,False,False,False,Saturday,1,clear,363.0,31.13,11301.12,0.2634,False
